PID,Speed,MPE,Correct,RT,Effective_Duration_s
2,5.0,8,1,0.7263,1.8047
2,0.0,2,1,0.8702,1.8083
2,5.0,2,0,0.668,1.7965
2,1.5,2,1,1.0483,1.8059
2,0.0,4,0,1.0631,1.8023
2,5.0,8,1,0.7972,1.8024
2,1.5,4,1,0.918,1.8025
2,15.0,4,1,0.9263,0.6619
2,1.5,2,1,0.7889,1.804
2,1.5,4,0,0.7972,1.8023
2,15.0,4,1,0.9633,0.6678
2,1.5,8,1,0.8714,1.8047
2,0.0,4,1,0.9315,1.8073
2,15.0,8,1,1.1082,0.6577
2,0.0,4,1,1.01,1.8075
2,0.0,8,1,1.1745,1.8048
2,5.0,4,1,0.6179,1.8019
2,5.0,8,1,1.0041,1.8077
2,0.0,8,1,0.8233,1.8009
2,5.0,8,1,0.8255,1.8037
2,1.5,4,0,0.8206,1.8039
2,5.0,4,1,0.6692,1.8048
2,5.0,8,0,0.8057,1.8042
2,15.0,4,1,1.2659,0.6522
2,1.5,8,1,0.8893,1.8039
2,15.0,2,0,1.1521,0.6554
2,0.0,8,1,1.1322,1.8003
2,1.5,2,1,0.9295,1.8061
2,1.5,2,0,0.755,1.8039
2,15.0,8,0,0.8819,0.6666
2,15.0,8,1,1.0255,0.6644
2,15.0,2,0,1.0347,0.649
2,15.0,4,0,1.0186,0.6597
2,5.0,2,0,0.8341,1.8079
2,1.5,2,1,4.125,1.8069
2,15.0,2,1,1.0373,0.6599
2,5.0,4,1,0.5588,1.8053
2,5.0,4,1,0.8261,1.8052
2,15.0,2,1,1.1613,0.6646
2,5.0,4,1,0.765,1.8027
2,0.0,8,1,0.9113,1.8072
2,1.5,8,1,0.9296,1.8053
2,15.0,2,1,1.0273,0.6605
2,0.0,8,1,0.9948,1.8023
2,5.0,8,0,0.8506,1.8028
2,1.5,8,1,0.8954,1.81
2,5.0,8,1,0.8436,1.811
2,5.0,4,0,0.8947,1.8052
2,1.5,8,1,1.0662,1.8009
2,1.5,4,0,0.7993,1.805
2,0.0,2,1,3.137,1.8021
2,1.5,4,0,0.952,1.7993
2,5.0,8,1,0.6432,1.7985
2,1.5,8,1,0.9302,1.8072
2,15.0,8,1,1.1057,0.6606
2,0.0,4,1,0.3279,1.8014
2,1.5,2,1,1.1718,1.8051
2,1.5,8,1,0.9118,1.798
2,5.0,4,1,1.0167,1.8003
2,5.0,4,0,0.8463,1.8023
2,1.5,8,1,0.9209,1.8054
2,1.5,2,1,4.467,1.8094
